Count_C1DNANuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,FileName_C1illum,FileName_C2illum,FileName_C3illum,FileName_raw,ImageNumber,Metadata_XY,Metadata_basename,Scaling_raw,Threshold_FinalThreshold_C1DNANuclei
16.0,0,0.0,1.0700000000000074,0,0.3999999999999915,0.4399999999999977,2.049999999999997,0.8499999999999943,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0058.tif,58,58,Atr+C Day2,65535,0.01
7.0,0,0.0,1.0700000000000074,0,0.39000000000000057,0.4200000000000017,2.069999999999993,0.9100000000000108,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0059.tif,59,59,Atr+C Day2,65535,0.01
8.0,0,0.0,0.6900000000000119,0,0.28999999999999204,0.3400000000000034,1.9399999999999977,0.8799999999999955,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0060.tif,60,60,Atr+C Day2,65535,0.01
9.0,0,0.0,0.8200000000000074,0,0.29999999999999716,0.3499999999999943,1.8800000000000097,0.8299999999999983,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0061.tif,61,61,Atr+C Day2,65535,0.01
8.0,0,0.0,0.8199999999999932,0,0.3100000000000165,0.37000000000000455,1.9200000000000017,0.8199999999999932,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0062.tif,62,62,Atr+C Day2,65535,0.01
7.0,0,0.0,0.8199999999999932,0,0.3199999999999932,0.36999999999999034,1.9099999999999966,0.8500000000000085,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0063.tif,63,63,Atr+C Day2,65535,0.01
12.0,0,0.0,1.1200000000000045,0,0.3499999999999943,0.4200000000000017,1.9000000000000057,0.9499999999999886,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0064.tif,64,64,Atr+C Day2,65535,0.01
3.0,0,0.0,1.2999999999999972,0,0.6899999999999977,0.6700000000000017,1.8499999999999943,0.9799999999999898,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0065.tif,65,65,Atr+C Day2,65535,0.01
5.0,0,0.0,1.059999999999988,0,0.3499999999999943,0.37999999999999545,1.9099999999999966,0.9699999999999989,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0066.tif,66,66,Atr+C Day2,65535,0.01
12.0,0,0.0,1.0499999999999972,0,0.3300000000000125,0.39000000000000057,1.9599999999999937,0.9099999999999966,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0067.tif,67,67,Atr+C Day2,65535,0.01
